nombre_del_hotel,nacionalidad,detalles_hab,noches,personas,comentario_general,positivo,negativo,nota,fecha,comentario_media_hotel
casual vintage valencia,españa,habitación interior individual pequeña,2,persona que viaja sola,hotel de dos estrellas que podría ser de tres perfectamente.,"hotel situado a dos minutos del ayuntamiento. dispone de una excelente zona de desayuno con ventanas. puedes desayunar mientras ves el ayuntamiento y su plaza desde el hotel. la habitación es amplia. cama grande. aseo también amplio con bañera y muy limpio. lo que valoro, son los pequeños detalles. amenities en el baño y en la habitación. decoración vintage. adecuada a la temática del hotel. desayuno buffet sencillo pero suficiente para un día de paseo por el centro. en general, todo perfecto.","quizás lo único que no me gustó, es que la puerta del baño y una esquina de la pared, estaba un poco estropeada. fue el único detalle negativo que me llamó la atención. nada que no se arregle con un poco de mantenimiento.",9.0,2024-12-30,muy bien
casual vintage valencia,españa,,1,familia,fantástico,la ubicación y las vistas espectaculares a la plaza del ayuntamiento,,9.0,2024-12-27,muy bien
casual vintage valencia,alemania,habitación interior individual pequeña,7,persona que viaja sola,navidad en valencia,"lo céntrico, lo limpio, la amabilidad del personal y el desayuno.","el ascensor siempre ocupado y la luz que entra en tu cuarto de otras habitaciones, estaba en una habitación que da al patio de luz y la habitación justo enfrente tenía hasta alta horas de la noche la luz encendida. tampoco corría el aire",9.0,2024-12-26,muy bien
casual vintage valencia,españa,habitación interior individual pequeña,1,persona que viaja sola,una ubicación privilegiada. y de bastante calidad.,"el desayuno en una planta las vistas donde se se emplaza, tomando un zumo embelesada viendo la plaza del ayuntamiento. ah!! el personal muy simpático, lástima, no nos tocó la lotería.","la habitación era de interior, pero bueno, esperable por el precio. asumible. si bien voy detectando que los hoteles de gama media ponen sólo 1 cortina que impide la entrada de luz, así que si quieres cambiarte o simplemente luz natural, o la abres y te ve cualquiera o la cierras y enciendes la luz gastando kw.",8.0,2024-12-24,muy bien
casual vintage valencia,españa,habitación triple,1,familia,inmejorable,ubicacion personal limpieza,,9.0,2024-12-21,muy bien
casual vintage valencia,españa,habitación triple,1,grupo,excelente ubicación  plaza del ayuntamiento de valencia  que compensa,la ubicación,"ruido de tuberías, etc.",8.0,2024-12-21,muy bien
casual vintage valencia,españa,habitación doble - 2 camas,1,grupo,"todo muy bien, céntrico, moderno y personal agradable","ubicación, limpieza, instalaciones y personal",el desayuno un poco escaso,9.0,2024-12-03,muy bien
casual vintage valencia,españa,habitación interior individual pequeña,2,persona que viaja sola,muy bien,ubicación y atención,"ruido en el edificio del alojamiento, no exterior",8.0,2024-11-22,muy bien
casual vintage valencia,chile,habitación interior individual pequeña,4,grupo,buen hotel para conocer la hermosa valencia a costo razonable,gente cálida en hotel agradable y muy bien ubicado,"el colchón , cada día desperté con alguna queja de mi columna",7.0,2024-11-21,muy bien
casual vintage valencia,uruguay,habitación interior individual pequeña,1,persona que viaja sola,muy buena,la ubicación. la limpieza. la decoración. excelente desayuno.,,9.0,2024-11-15,muy bien
casual vintage valencia,españa,,3,pareja,buen descanso y buena ubicación,"muy buena ubicación, lo tienes todo cerca. las habitaciones son muy cómodas y no se escuchan ruidos por la noche. tuvimos un pequeño problema con la televisión y al día siguiente a primera hora nos lo solucionaron. el encargado de la recepción muy majo. en resumen, buen hotel para descansar en pleno centro.",,8.0,2024-11-14,muy bien
casual vintage valencia,españa,habitación interior individual pequeña,1,persona que viaja sola,fantástico,"estaba perfectamente ubicado, en pleno centro de valencia. la cama era bastante comoda. y agradezco mucho al hotel por invitarme a desayunar por que fuí de voluntario por la dana. gracias",,9.0,2024-11-11,muy bien
