nombre_del_hotel,nacionalidad,detalles_hab,noches,personas,comentario_general,positivo,negativo,nota,fecha,comentario_media_hotel
ilunion aqua 3,españa,,3,pareja,fantástico,,,9.0,2023-05-02,bien
ilunion aqua 3,españa,,1,pareja,muy bien,,,8.0,2023-05-02,bien
ilunion aqua 3,españa,,1,familia,fantástico,,,9.0,2023-05-02,bien
ilunion aqua 3,españa,,6,familia,fantástico,,,9.0,2023-05-01,bien
ilunion aqua 3,españa,,2,familia,muy bien,,,8.0,2023-05-01,bien
ilunion aqua 3,españa,,3,pareja,fantástico,,,9.0,2023-05-01,bien
ilunion aqua 3,españa,,1,persona que viaja sola,bien,,,7.0,2023-04-30,bien
ilunion aqua 3,españa,,1,familia,fantástico,,,9.0,2023-04-27,bien
ilunion aqua 3,españa,,2,familia,bien,,,7.0,2023-04-24,bien
ilunion aqua 3,españa,,1,familia,muy bien,,,8.0,2023-04-24,bien
ilunion aqua 3,españa,,1,pareja,muy bien,,,8.0,2023-04-18,bien
ilunion aqua 3,españa,,2,familia,fantástico,,,9.0,2023-04-17,bien
ilunion aqua 3,españa,,1,persona que viaja sola,muy bien,,,8.0,2023-04-16,bien
ilunion aqua 3,españa,,4,familia,muy bien,,,8.0,2023-04-16,bien
ilunion aqua 3,españa,,4,grupo,fantástico,,,9.0,2023-04-16,bien
ilunion aqua 3,españa,,2,pareja,muy bien,,,8.0,2023-04-15,bien
ilunion aqua 3,españa,,3,familia,muy bien,,,8.0,2023-04-15,bien
ilunion aqua 3,españa,,1,persona que viaja sola,excepcional,,,10.0,2026-04-13,bien
ilunion aqua 3,españa,,1,pareja,excepcional,,,10.0,2026-04-12,bien
ilunion aqua 3,españa,,2,persona que viaja sola,excepcional,,,10.0,2026-04-12,bien
ilunion aqua 3,españa,,1,familia,excepcional,,,10.0,2026-04-11,bien
ilunion aqua 3,españa,,2,pareja,agradable,,,6.0,2026-04-10,bien
ilunion aqua 3,españa,,3,familia,agradable,,,6.0,2026-04-10,bien
ilunion aqua 3,españa,,1,familia,excepcional,,,10.0,2026-04-10,bien
ilunion aqua 3,españa,,1,pareja,excepcional,,,10.0,2026-04-08,bien
ilunion aqua 3,españa,,1,grupo,excepcional,,,10.0,2026-04-06,bien
ilunion aqua 3,españa,,1,persona que viaja sola,agradable,,,6.0,2026-04-05,bien
