nombre_del_hotel,nacionalidad,detalles_hab,noches,personas,comentario_general,positivo,negativo,nota,fecha,comentario_media_hotel
casual vintage valencia,españa,habitación doble con balcón - 2 camas,1,pareja,bien,ontbijt was goed,we hadden inclusief ontbijt geboekt maar hebben het nog apart moeten betalen.,7.0,2025-02-18,muy bien
casual vintage valencia,españa,habitación doble - 2 camas,1,pareja,bien,                     ,"                                                  ,         ,                       .                .                                         ,                                     .",7.0,2024-07-07,muy bien
casual vintage valencia,españa,habitación triple,1,familia,"bona situació, condicions mediocres",la situació,"ascensor per a 3-4 persones solament un. mal aïllament, molt de soroll.",7.0,2024-01-17,muy bien
casual vintage valencia,españa,habitación interior individual pequeña,1,persona que viaja sola,bien,"                              ,                                     ,                               .","                                                ,                           ",7.0,2023-07-11,muy bien
casual vintage valencia,españa,habitación doble - 2 camas,4,pareja,uitstekend,"prima locatie, midden in het centrum. ontbijt was erg goed voor iedereen wel iets. de badkamer was prima uitgerust.",niets,10.0,2026-03-24,muy bien
casual vintage valencia,españa,habitación doble - 2 camas,1,pareja,flott og utmerket sted midt i sentrum.,alt var meget bra!,ingenting.,10.0,2026-01-23,muy bien
casual vintage valencia,españa,habitación interior individual pequeña,3,persona que viaja sola," k till valencia till denne hotel. du kommer inte  ngra dig! rent, bekväm säng, trevlig personal. hotellet är värt penga",allt! toppen hotell,,10.0,2025-12-22,muy bien
casual vintage valencia,españa,habitación doble con terraza,2,persona que viaja sola,excepcional,"läget är fantastiskt. personalen är bra p  att ge förslag p  upplevelser, restauranger, etc. frukosten är fräsch med bra variation.",,10.0,2025-11-05,muy bien
casual vintage valencia,españa,,1,pareja,excepcional,l habitació espaiosa o còmoda amb vistes a la pla a de l ajuntament. molt net i proveït de tot allò necessari.,,10.0,2025-11-01,muy bien
casual vintage valencia,españa,habitación doble,1,pareja,"sehr schöne unterkunft, die ich für einige tage in valencia immer empfehlen würde.",das hotel liegt mitten in valencia. wir hatten ein zimmer mit blick auf den grossen platz. es war wunderschön. die zimmer sind sehr individuell. im bad gab es duschgel von rituals. wirklich toll. das personal war sehr aufmerksam und sehr nett. für so wenige sterne ein hotel der 1a kategorie.,,10.0,2024-08-15,muy bien
casual vintage valencia,españa,habitación doble - 2 camas,1,persona que viaja sola,beaucoup trop cher pour la qualité de la prestation,l emplacement,"le bruit, le manque d insonorisation, le manque de remise en état des lieux",5.0,2024-05-11,muy bien
casual vintage valencia,españa,habitación doble con balcón - 2 camas,1,familia,excepcional,                                      ,                ,10.0,2024-03-30,muy bien
