nombre_del_hotel,nacionalidad,detalles_hab,noches,personas,comentario_general,positivo,negativo,nota,fecha,comentario_media_hotel
the river hostel,españa,litera en dormitorio compartido mixto con 10 camas,3,persona que viaja sola,excelente relación precio calidad,el staff es realmente amable y dispuesto a ayudar al huésped,,9.0,2024-06-11,muy bien
the river hostel,españa,cama en habitación compartida mixta de 4 camas,3,persona que viaja sola,fantástico,es un edificio muy bonito con historia. el personal es muy amable y las instalaciones están muy limpias. la cama y el espacio personal para dejar la maleta son ideales.,"a pesar de que hay aire acondicionado, el ventilador de la habitación está muy alto a las camas inferiores llega poco aire.",9.0,2024-06-10,muy bien
the river hostel,españa,cama en habitación compartida mixta de 4 camas,1,grupo,fantástico,,40  por noche para solamente 1 cama me parece un poco excesivo,9.0,2024-06-05,muy bien
the river hostel,españa,litera en una habitación compartida femenina,1,persona que viaja sola,buen sitio,"la ubicación, las cortinas en las camas daban mucha intimidad y los maleteros individuales muy grandes y cómodos.","el desayuno está muy bien pero falla que no tenían café descafeinado,  aunque fuese de sobre  ni sacarina. creo que hoy en día es algo imprescindible en un desayuno, por lo demás recomiendo el desayuno",8.0,2024-05-21,muy bien
the river hostel,españa,litera en dormitorio compartido mixto con 10 camas,2,persona que viaja sola,bien,,"alojé en un habitación mixta, me tocó solo con hombres y un par de ellos fumaron dentro de la habitación, la mantenían sucia, no respetaban los horarios de silencio para dormir, ponían música fuerte como si estuvieran en una habitación privada. no tiene que ver con el alojamiento en particular, pero da cuenta de que te puedes topar con personas que no respetan el espacio.",7.0,2024-05-20,muy bien
the river hostel,españa,litera en habitación compartida mixta de 12 camas,1,persona que viaja sola,muy bien,la comodidad de la cama la limpieza,la mayoría del personal no habla español,8.0,2024-05-13,muy bien
the river hostel,españa,litera en dormitorio compartido mixto con 10 camas,2,grupo,"un muy buen hostal, limpio, con espacios comunes muy grandes y chulos, y un personal muy amable","el hostal estaba bien ubicado, en el centro de valencia, y los servicios cumplieron lo que buscábamos.",,8.0,2024-05-13,muy bien
the river hostel,españa,litera en habitación compartida mixta de 12 camas,1,persona que viaja sola,muy confortable,el precio ubicación que tienen,,9.0,2024-05-08,muy bien
the river hostel,españa,cama en habitación compartida mixta de 4 camas,2,persona que viaja sola,fantástico,excelente hostel. no tengo una queja,,9.0,2024-05-06,muy bien
the river hostel,españa,litera en una habitación compartida femenina,3,persona que viaja sola,bien,el desayuno y la ubicación,el ruido k hacía la puerta d la habitación cada vez k se abre o cierra era muy molesto,7.0,2024-04-30,muy bien
the river hostel,españa,cama en habitación compartida mixta de 8 camas,2,persona que viaja sola,genial,"la comodidad de la cama, la velocidad del wifi, la atención del personal y lo limpio que estaba todo.",,8.0,2024-04-14,muy bien
the river hostel,españa,cama en habitación compartida mixta de 8 camas,3,grupo,me encantó,"la atención de las trabajadoras, era muy atentas y fueron muy amables. nos recomendaron sitios para comer paella y tienen actividades",que no había aparcamiento,8.0,2024-04-08,muy bien
the river hostel,españa,litera en habitación compartida mixta de 12 camas,1,persona que viaja sola,excelente para su precio.,"sencillo, pero dispone de todo lo necesario y a un precio imbatible.",nada.,9.0,2024-04-05,muy bien
the river hostel,españa,litera en habitación compartida mixta de 12 camas,2,persona que viaja sola,fantástico,,grifo de agua el ducha muy viejos,9.0,2024-04-03,muy bien
the river hostel,españa,litera en una habitación compartida femenina,2,persona que viaja sola,muy bien,la ubicación es genial,,8.0,2024-03-26,muy bien
the river hostel,españa,litera en habitación compartida mixta de 12 camas,3,grupo,estancia tranquila y recomendable,me gusto el silencio la atencion por parte del personal nativo muy agradable,"los baños y duchas, y todo en general esta dejado y es una lastima porque hay mucho potencial la atención por las adolescentes extranjeras, pues mucho que desear, porque no hay ninguna atención, sobretodo lo notamos en el servicio de desayuno, donde se terminaba algo, lo reclamabas, se ponian hablar y nunca mas lo tenias disponible, creo que esto seria recomendable mejorar. el sistema de la caja debajo la cama, quizas mejorar porque hace mucho ruido.",8.0,2024-03-21,muy bien
the river hostel,españa,litera en una habitación compartida femenina,2,persona que viaja sola,bien,la ubicación es estupenda y las habitaciones tienen buen tamaño y lo hace muy cómodo. la zona de estar y la cocina unas de las mejores zonas del hostal.,que gran parte del personal no pudiera comunicarse en español.,7.0,2024-03-15,muy bien
the river hostel,españa,litera en una habitación compartida femenina,1,persona que viaja sola,volveré seguro,"la habitación era bastante grande y las camas eran nuevas y super cómodas. la chica de recepción es muy maja y atenta. está muy bien ubicado, y la zona es muy tranquila.","los baños y las duchas aunque están pasables, necesitan una actualización.",7.0,2024-03-08,muy bien
the river hostel,españa,cama en habitación compartida mixta de 4 camas,3,familia,fantástico,"la amabilidad del personal, disponer de agua y café gratuito y la ubicación.",nada,9.0,2024-02-23,muy bien
the river hostel,españa,litera en dormitorio compartido mixto con 10 camas,6,persona que viaja sola,recomendable para pasar unos pocos dias,"excelente ubicación, zona muy conectada, cerca de muchos puntos de interés, instalaciones simples pero funcionales, todo muy limpio y ordenado, personal siempre a disposición.",no sabría el motivo pero en mi estancia muchísimos adolescentes lo cual ruidos en exceso permanente. faltaría café y te a disposición gratis en la cocina ya que muchos solo tomamos un café por la mañana y no se justifica pagar un desayuno.,8.0,2024-02-16,muy bien
the river hostel,españa,cama en habitación compartida mixta de 6 camas,2,grupo,perfecto para un fin de semana y conocer valencia a pie o en bici!,"la ubicación, muy cerca de todo. las camas eran cómodas y tenían privacidad al tener cortinas.",los secadores de pelo en el baño de mujeres en el segundo piso tenían algunos cables no protegidos que daban un poco de cuidado. por lo demás todo bien! es perfecto para pasar un fin de semana.,8.0,2024-02-15,muy bien
the river hostel,españa,litera en habitación compartida mixta de 12 camas,2,grupo,fantástico,el desayuno estupendo. silencio obligatorio a partir de las 22:00 lo que permite descansar. se puede cocinar o comprar comida el cualquier sitio y calentarla. las zonas comunes son amplias y cómodas.,,9.0,2024-02-15,muy bien
